Model,MAE,MSE,RMSE,R2 Score
Random Forest,0.32776569915213194,0.25591484797233455,0.5058802703924463,0.8047061244071481
Gradient Boosting,0.3716504484843678,0.29399901242474274,0.5422167577867202,0.7756433164710084
Decision Tree,0.45317192587209304,0.4929876027076308,0.7021307589812817,0.6237910370780425
Linear Regression,0.5332001304956565,0.5558915986952444,0.7455813830127764,0.5757877060324508
